"","filename","spp","n_obs","n_exp_si","n_exp_sir"
"1","e_aloca.csv","Alouatta_caraya",5,9,7
"2","e_alouattaguariba.csv","Alouatta_guariba",5,8,7
"3","e_atege.csv","Ateles_geoffroyi",15,75,23
"7","e_cappedlang2.csv","Trachypithecus_pileatus",5,8,7
"8","e_cebap.csv","Cebus_apella",12,43,18
"9","e_cebca.csv","Cebus_capucinus",6,9,9
"10","e_cerae.csv","Cercopithecus_aethiops",8,15,12
"12","e_cermi.csv","Cercopithecus_mitis",16,57,26
"13","e_chimps2.csv","Pan_troglodytes",7,12,9
"14","e_colgu.csv","Colobus_guereza",8,43,13
"16","e_eulemur2.csv","Petterus_fulvus",11,20,15
"19","e_hanumanlang2.csv","Semnopithecus_entellus",6,11,9
"20","e_lemca.csv","Lemur_catta",12,20,16
"21","e_macar.csv","Macaca_arctoides",19,53,26
"22","e_macas.csv","Macaca_assamensis",19,79,28
"23","e_macfa.csv","Macaca_fascicularis",10,70,17
"26","e_macra.csv","Macaca_radiata",16,32,22
"27","e_macto.csv","Macaca_tonkeana",25,61,33
"29","e_miota.csv","Miopithecus_talapoin",8,16,12
"30","e_mulatta2.csv","Macaca_mulatta",28,37,30
"34","e_papioursinus.csv","Papio_ursinus",14,27,18
"37","e_proboscis2.csv","Nasalis_larvartus",6,13,8
"38","e_sagfu.csv","Saguinus_fuscicollis",7,16,11
"39","e_saguinusmystax.csv","Saguinus_mystax",6,10,9
"41","e_thege.csv","Theropithecus_gelada",7,16,10
"42","e_trachypithecusjohnii.csv","Trachypithecus_johnii",10,34,14
